date, pm25, pm10, o3, no2, so2, co
2020/10/1, 87, 75, 16, 10, 3, 3
2020/10/2, 110, 72, 19, 13, 3, 3
2020/10/3, 120, 49, 18, 17, 2, 3
2020/10/4, 94, 61, 9, 10, 3, 6
2020/10/5, 87, 81, 17, 11, 4, 7
2020/10/6, 118, 85, 23, 15, 4, 6
2020/10/7, 129, 87, 20, 16, 3, 5
2020/10/8, 135, 101, 26, 19, 5, 9
2020/10/9, 154, 101, 30, 19, 4, 5
2020/10/10, 158, 72, 22, 15, 3, 3
2020/10/11, 120, 113, 20, 14, 4, 5
2020/10/12, 166, 88, 27, 14, 3, 5
2020/10/13, 139, 84, 25, 20, 4, 6
2020/10/14, 148, 41, 25, 16, 4, 4
2020/10/15, 83, 57, 15, 18, 4, 4
2020/10/16, 83, 86, 17, 12, 3, 4
2020/10/17, 141, 66, 18, 8, 3, 2
2020/10/18, 85, 68, 16, 9, 2, 3
2020/10/19, 89, 74, 18, 13, 4, 4
2020/10/20, 115, 66, 19, 17, 5, 5
2020/10/21, 126, 115, 24, 17, 9, 5
2020/10/22, 168, 77, 32, 16, 8, 6
2020/10/23, 148, 85, 26, 12, 14, 5
2020/10/24, 142, 69, 46, 12, 1, 3
2020/10/25, 126, 84, 28, 23, 2, 7
2020/10/26, 146, 97, 32, 32, 4, 7
2020/10/27, 140, 153, 60, 31, 5, 8
2020/10/28, 179, 123, 2, 41, 4, 12
2020/10/29, 162, , , , , 
2020/9/1, 57, 55, 6, 7, 48, 4
2020/9/2, 116, 133, 7, 9, 3, 3
2020/9/3, 83, 71, 24, 14, 3, 4
2020/9/4, 96, 68, 28, 25, 3, 3
2020/9/5, 107, 84, 1, 22, 4, 7
2020/9/6, 151, 47, 15, 12, 3, 2
2020/9/7, 56, 52, 7, 12, 2, 2
2020/9/8, 69, 63, 12, 11, 3, 3
2020/9/9, 87, 45, 16, 13, 2, 2
2020/9/10, 68, 61, 10, 16, 3, 3
2020/9/11, 84, 54, 6, 15, 3, 2
2020/9/12, 56, , , 7, , 
